pid	text	labels
2490.jpg	what is needed to run TV series successfully: content this	{what {is {needed {to {run {TV {series {successfully: content {this
2491.jpg	the art India has worst economy in 42 years.. The artist….	the art {India {has {worst {economy {in {42 {years.. The artistâ€¦.
2492.jpg	comedian caught releasing laughing gas on his show,arrested *other stand up comedians mast plan hai	{comedian {caught {releasing {laughing {gas {on {his {show,arrested {*other {stand [up {comedians {mast {plan {hai
2494.jpg	people in huge number gathered at marine lines for a morning walk corona: tum jaise chutiyo ka sahara hai dosto	people in huge number gathered at marine lines for a morning walk {corona: {tum {jaise {chutiyo {ka {sahara {hai {dosto
2496.jpg	indians few days ago calling people "kalu""kaliya"cuz they are black in colour, hardik pandya is windies cuz he is black,trolling south indians by their skin colour now:#BlackLivesMatter we were bad,but now we're good	{indians few days ago {calling {people {"kalu""kaliya"cuz {they {are {black in colour, {hardik {pandya {is {windies {cuz {he {is {black,trolling south indians by their skin colour {now:#BlackLivesMatter {we {were {bad,but {now {we're {good
2502.jpg	Me,after reading the global Covid-19 data every day. Sabse aage honge hindustani	{Me,after {reading {the {global {Covid-19 {data every day. {Sabse {aage {honge {hindustani
2504.jpg	Never ever try late & last night studies for exam with gf i repeat never ever	{Never ever {try {late & {last {night {studies {for {exam {with {gf i repeat never ever
2505.jpg	Main MC hoon jo plane mein aaya	{Main {MC {hoon {jo {plane {mein {aaya
2506.jpg	govt.allowed films shooting but no kissing scene to be shoot due to pandemic le tharki directors*pratibha diya par sadhan nahi diya	{govt.{allowed {films {shooting {but {no {kissing {scene {to {be {shoot {due {to {pandemic {le {tharki {directors*{pratibha {diya {par {sadhan {nahi {diya
2508.jpg	when your crush tells about her qualities that she is a foodie so u ask her, konsi?maa di ya behn di?	{when {your {crush {tells about her qualities {that {she {is {a {foodie {so {u {ask {her, {konsi?{maa {di {ya {behn {di?
2510.jpg	everytime oneplus launches a phone 1+MSM 1351 1+MSM 1351 MSM 1351	{everytime {oneplus {launches {a {phone 1+MSM 1351 1+MSM 1351 MSM 1351
2512.jpg	Pakistani NGO'S arranges a rally of over 20,000 people to raise awareness about Corono Virus. Maarenge bhi hum aur bachaayenge bhi hum	{Pakistani {NGO'S {arranges {a rally of over 20,000 people to {raise {awareness about Corono Virus. {Maarenge {bhi {hum {aur {bachaayenge {bhi {hum
2513.jpg	Best face swap ever	{Best {face {swap {ever
2514.jpg	normale people aamir khan in dil chahta hai	{normale {people {aamir {khan {in {dil {chahta {hai
2516.jpg	like father like son. carbon copy hai na! hum toh baalti me peetey hai	like father like son. carbon copy {hai {na! {hum {toh {baalti {me {peetey {hai
2520.jpg	google mag showing shortest path	{google {mag {showing {shortest {path
2522.jpg	cringe don't have any dressing sense OMG harry styles so cute	cringe don't have any dressing sense {OMG {harry {styles {so {cute
2524.jpg	sir he is abusing me what you said? WTF i just said cricket in chinees	sir he is abusing me what you said? {WTF {i {just {said {cricket {in {chinees
2525.jpg	teacher-first tie your paper and then write me- Haan maloom hai chal. Apne baap ko mat sikha	{teacher-{first {tie {your {paper {and {then {write {me- {Haan {maloom {hai {chal. {Apne {baap {ko {mat {sikha
2526.jpg	oye ben stokes haan bhai? abey naam ni le rha hu	{oye {ben {stokes {haan {bhai? {abey {naam {ni {le {rha {hu
2528.jpg	tony kakker should open a general store	{tony {kakker {should {open {a {general {store
2529.jpg	#Fake #Real	{#Fake {#Real
2530.jpg	Jhat Mix Jhat Mix tune kya mix kiya hai pramod	{Jhat {Mix Jhat Mix {tune {kya {mix {kiya {hai {pramod
2532.jpg	jeff bezos' ex- wife mackenzie scott marries school teacher jeff bhai:	jeff bezos' ex- wife {mackenzie {scott {marries {school {teacher {jeff {bhai:
2534.jpg	Filmfare; are you excited to watch #VijayDeverakonda & #AnanyaPandey together on the big screen? adibrao Virushka who? I present you,AnaKonda	Filmfare; are you excited to watch #VijayDeverakonda & #AnanyaPandey together on the big screen? {adibrao [Virushka {who? {I {present {you,{AnaKonda
2536.jpg	Lockdown ke baavjoot jb koi phone pe puche "Kahan hai? CHAND PE HAI APUN	{Lockdown {ke {baavjoot {jb {koi {phone {pe {puche {"Kahan {hai? {CHAND {PE {HAI {APUN
2538.jpg	one again it's proved bad people dont deserve a nose!	{one {again {it's {proved {bad {people {dont {deserve [a {nose!
2540.jpg	RW: Himesh gale se gata hai. LW: Himesh naak se gata hai. CENTRIST: Himesh naak se gata ho ya gand se gata toh ek no hai.	RW: Himesh gale se gata hai. LW: Himesh naak se gata hai. {CENTRIST: {Himesh {naak {se {gata {ho [ya {gand {se {gata {toh {ek {no {hai.
2542.jpg	Kanpur Lokesh Rahul commonly known as KL Rahul is related to which of the following sports ? A. Cricket B. Basketball C.tennis D. badmintion E. Vollyball. Bh**dike.	{Kanpur {Lokesh {Rahul commonly known as KL Rahul is related to which of the following sports ? A. Cricket B. Basketball C.tennis D. badmintion E. Vollyball. Bh**dike.
2544.jpg	बोर्डिंग स्कूल से भागते हुए पकड़े गए थे Karan johar , Twinkle khanna से करते थे प्यार Aakash Dewri : And then he watched Mela' and decided to be gay.	à¤¬à¥‹à¤°à¥à¤¡à¤¿à¤‚à¤— à¤¸à¥à¤•à¥‚à¤² à¤¸à¥‡ à¤­à¤¾à¤—à¤¤à¥‡ à¤¹à¥à¤ à¤ªà¤•à¥œà¥‡ à¤—à¤ à¤¥à¥‡ Karan johar , Twinkle khanna à¤¸à¥‡ à¤•à¤°à¤¤à¥‡ à¤¥à¥‡ à¤ªà¥à¤¯à¤¾à¤° Aakash Dewri : And then he watched Mela' and decided to be gay.
2546.jpg	sab kuch ud gaya perfume reh gaya jeans/belt/sleeve/underwear & stand andhi hai kya love di	{sab {kuch {ud {gaya {perfume {reh {gaya jeans/belt/sleeve/underwear & stand andhi hai kya love di
2548.jpg	people mispronoucing common english words grammar nerds-Zinda Pakadna Hai B*sdiwalon Ko	{people {mispronoucing common english words {grammar {nerds-{Zinda {Pakadna {Hai {B*sdiwalon {Ko
2550.jpg	Diwakar Deepak @Rom _Rom_ji *Kholi and Rohit going as opener*. Meanwhile KL Rahul, Ishan Kishan and Dhawan: -	Diwakar Deepak @Rom _Rom_ji *{Kholi {and {Rohit {going {as {opener*. {Meanwhile {KL {Rahul, {Ishan {Kishan {and {Dhawan: -
2552.jpg	pata hain hum match kaha here? kahaan? ahmedabad me	{pata {hain {hum {match {kaha {here? {kahaan? {ahmedabad {me
2553.jpg	Tumne tiktok pe video banayi Laxman Haan aaj kal toh sab ladke banate hai Ladke nahi banate	{Tumne {tiktok {pe {video {banayi {Laxman {Haan {aaj {kal {toh {sab {ladke {banate {hai {Ladke {nahi {banate
2554.jpg	भोमस्डिका पक्का रंग लग रहा था -	à¤­à¥‹à¤®à¤¸à¥à¤¡à¤¿à¤•à¤¾ à¤ªà¤•à¥à¤•à¤¾ à¤°à¤‚à¤— à¤²à¤— à¤°à¤¹à¤¾ à¤¥à¤¾ -
2556.jpg	Pakistan: Patient recovers from coronavirus , throws party to 100people,tested positive again. Gaand fate toh fate par nawabi na ghate	pakistan: Patient recovers from coronavirus , throws party to 100people,tested positive again. {Gaand {fate {toh {fate {par {nawabi {na {ghate
2557.jpg	who dekh teri bhabhi ah rahi hai "Dilo ka shooter hai mera scooter." bhaag BC!!!	who dekh teri bhabhi ah rahi hai "{Dilo {ka {shooter hai mera {scooter." {bhaag {BC!!!
2558.jpg	wow	{wow
2560.jpg	jashn-e-bahara hai ishq meanwhile wow	jashn-e-bahara hai {ishq {meanwhile {wow
2564.jpg	woh bsdk wala pure saal chemical facewas use karta hai par holi ke din colour se allergy hoti usko	woh {bsdk wala pure saal {chemical {facewas use karta hai par {holi {ke din {colour se {allergy hoti usko
2566.jpg	psycho hai kya yaar?	{psycho hai kya yaar?
2567.jpg	my sister marriage with all friend	my {sister {marriage with {all {friend
2569.jpg	A girl starts walking Indian Aunties be like-"Aaj chalna seekh rahi hai kal kisi ladke ke sath Bhaag jaegi"	A {girl {starts {walking {Indian {Aunties be like-"Aaj chalna seekh rahi hai {kal kisi {ladke ke sath {Bhaag {jaegi"
2570.jpg	then now ye delhi capitals walo ka kuch karna padega	then now ye {delhi {capitals walo ka {kuch {karna {padega
2571.jpg	Ye Ambani pura Paksitan kharid skta hai *Le Ambani lekin main Tatti kyu kharidunga bc	Ye Ambani pura Paksitan kharid skta hai *Le {Ambani lekin {main {Tatti {kyu {kharidunga bc
2572.jpg	chennai saala saanp ko paal raha tha	chennai {saala {saanp ko {paal {raha {tha
2574.jpg	My parent's to Me in this quarantine days:Ajeeb janwar hai,kitna bhi khaye bhooka hi rehta hai	My parent's to Me in this quarantine days:{Ajeeb {janwar {hai,{kitna {bhi {khaye {bhooka {hi {rehta {hai
2576.jpg	Kishan singh @00747 "I nominate you to --" चुप मादरचोद	Kishan singh @00747 "I nominate you to --{" à¤šà¥à¤ª à¤®à¤¾à¤¦à¤°à¤šà¥‹à¤¦
2578.jpg	Me:Nice heels She:Utaru kya Me:Nice dress She: Me:Ab bol ab bol na madarchod	Me:Nice heels She:Utaru kya Me:Nice dress She: Me:{Ab {bol ab bol na {madarchod
2580.jpg	When a lawyer talks in English in District Court. People:America ka Dalal BahinChod	When a {lawyer {talks in {English in District Court. {People:{America {ka {Dalal {BahinChod
2584.jpg	other countries to china Puri duniya ki Maa Ch*d Di Bhench*d Tune	other countries to china {Puri {duniya ki {Maa {Ch*d {Di Bhench*d Tune
2586.jpg	Kids:Apke mobile mai game hai???Me:*bhaag madharchod	{Kids:Apke {mobile mai {game hai???Me:{*bhaag {madharchod
2588.jpg	India:why you sold undergarments to Pakistan instead of mask China:chutiye hai Pakistan Le India:chutiya hai ye important nhi hai hmara ladke h ye important hai	India:why you sold undergarments to Pakistan instead of mask China:chutiye hai Pakistan Le India:{chutiya {hai {ye {important {nhi {hai {hmara {ladke {h ye important hai
2590.jpg	modiji jo America ko dia wo hame bhi do na Kya? Wo Hydrogen Are Hydroxychloroquine hai wo Gand me hydrogen bharo re iske	modiji jo America ko dia wo hame bhi do na Kya? Wo Hydrogen Are {Hydroxychloroquine hai {wo {Gand {me {hydrogen {bharo {re {iske
2594.jpg	Idhar AA "WANDERLUST"ke pille ...Tujhe "CLUBBING SCENES" dikhaata hoon	Idhar AA "{WANDERLUST"{ke {pille ...Tujhe {"CLUBBING {SCENES" {dikhaata {hoon
2595.jpg	Mitron Tum Log Task-Task Kar Rahe The, Yahi HAi Tumhara Task.. Lockdown Khatam hone se pahle TikTok Khatam ho Jana Chahiye..!	Mitron Tum Log Task-Task Kar Rahe The, Yahi HAi Tumhara Task.. {Lockdown {Khatam hone {se {pahle {TikTok {Khatam {ho {Jana {Chahiye..!
2596.jpg	*Papa Duniya Gol hai na* nahi Beta Duniya madarchod thi,Duniya madarchod hai,Duniya madarchod rahegi	*Papa Duniya Gol hai na* nahi Beta {Duniya {madarchod {thi,{Duniya {madarchod {hai,{Duniya {madarchod {rahegi
2597.jpg	Nepotism in Bollywood be like: Director Chutiya Hau Tumhara Ladka *Bollywood Celebrity Chutiya hai ye Important Nahi Hai Hamara Ladka Hai Ye Important Hai	Nepotism in Bollywood be like: Director Chutiya Hau Tumhara Ladka *Bollywood Celebrity {Chutiya {hai ye {Important {Nahi {Hai {Hamara {Ladka {Hai Ye Important Hai
2598.jpg	Kal PUBG Khelne kyu nai aaya tu? Battery low thi bhai...Bsdk Riya ke saath Ludo khelne ke liye Battery thi	Kal PUBG Khelne kyu nai aaya tu? Battery low thi bhai…{Bsdk {Riya {ke {saath {Ludo {khelne {ke {liye {Battery {thi
2599.jpg	Everyone stand against Nepotism * Taimur: Phir apna kaam khallas	Everyone stand against Nepotism * Taimur: {Phir {apna {kaam {khallas
2600.jpg	#bringbackcarryminativideo Carry fans to YouTube: Mai toh tereko dev-manus samajhta tha tu toh Madarchod nikla re	#bringbackcarryminativideo Carry fans to YouTube: Mai toh tereko {dev-{manus {samajhta tha {tu toh {Madarchod {nikla {re
2602.jpg	Papa:tum mujhe apna papa nhi dost samjho Me:yar teri bandi ko itni problem kya mere phone use karne sai Papa:Bsdk itna friendly hone nahi bola tha	Papa:tum mujhe apna {papa {nhi {dost {samjho Me:yar teri bandi ko itni problem kya mere phone use karne sai Papa:{Bsdk {itna {friendly {hone {nahi {bola tha
2604.jpg	From this "Please bhai maan jaa" To this "Mat maan maa Ch*da" We all grew up	From this "{Please bhai {maan {jaa" To this "{Mat {maan {maa {Ch*da" We all grew up
2606.jpg	china blocks Narendra Modi's website Modi ji:- Ruk teri MAA Ch*** hai mein	china blocks Narendra Modi's website {Modi {ji:- {Ruk {teri {MAA {Ch*** {hai {mein
2608.jpg	Putin:do you know Siberia? Guy :no Putin: you will if you kick the chair one more time	Putin:do you know Siberia? Guy :no {Putin: {you {will {if {you {kick {the {chair {one {more {time
2610.jpg	Bsdk humlogo ko raat bhar jaga k khud morning walk kar raha h	{Bsdk {humlogo ko raat bhar {jaga {k {khud {morning {walk {kar {raha {h
2612.jpg	yadi isko CorOna Virus ho jaye toh....Ye China walon ki Poori Ankhen Khol Dega..	yadi isko CorOna Virus ho jaye toh....Ye {China {walon {ki Poori {Ankhen {Khol {Dega..
2614.jpg	That's why I didn't slap you back! I learned a long ago never to Wrestle with a pig...You get dirty,and beside,the pig likes it	That's why I didn't slap you back! I learned a long ago never to Wrestle with a pig…{You {get {dirty,and {beside,the {pig {likes {it
2616.jpg	virat No users found..Virat.kohli 196 Following rohi rohitsharma45 Rohit Sharma Follow Meanwhile Virat* saala jalta hain mujhse	virat No users found..Virat.kohli 196 Following rohi rohitsharma45 Rohit Sharma Follow Meanwhile Virat* {saala {jalta {hain {mujhse
2617.jpg	IS UMAR PE MAIN NANGA SOTA THA  Anuj patel: Vo bhi nanga hi soyega	IS UMAR PE MAIN NANGA SOTA THA  Anuj patel: {Vo {bhi {nanga {hi {soyega
2618.jpg	Current situation of #Arnab Goswami:Ae!Bharat sarkar...izzat se ha..	Current situation of #Arnab Goswami:{Ae!Bharat {sarkar…{izzat {se {ha..
2619.jpg	Girlfriend Aisi Banao Jiske God Me sar Rakho Toh Uska Face Naa Dikhe	{Girlfriend Aisi Banao Jiske {God {Me {sar {Rakho Toh Uska {Face {Naa {Dikhe
2620.jpg	Mom-chup chap khana kha vrna maar ke ga#d tod dungi tujhe kya lagta hai karwachauth ka natak mujhe nahi pata..?Nibbi	Mom-chup chap {khana {kha vrna {maar {ke {ga#d {tod {dungi tujhe kya lagta hai {karwachauth {ka {natak {mujhe {nahi {pata..?Nibbi
2622.jpg	Narendra Optimus Prime Minister	{Narendra {Optimus {Prime {Minister
2624.jpg	Teacher:this is the worst class, I have ever seen.I am leaving the class.	Teacher:this is the {worst {class, I have ever seen.{I {am {leaving {the {class.
2626.jpg	This is how these 2 legends gonna meet tonight and this is how their fans	This is how these {2 {legends {gonna {meet {tonight {and this is {how {their {fans
2628.jpg	After betraying harsad,bhusan is now playing cricket for India.*MC Bhusan	After betraying harsad,{bhusan is now {playing {cricket for India.*{MC {Bhusan
2630.jpg	Aaj se toh IPL shuru hone wala tha..Maaki Ch#t China ki	Aaj se toh IPL shuru hone wala tha..{Maaki {Ch#t {China {ki
2632.jpg	Nikal Michael Vaughan,pehli fursat mein nikal...Michael Vaughan ..Told ya..India are going to get hammered in the Test Series..#AUSvIND #4-0	Nikal {Michael {Vaughan,{pehli {fursat {mein {nikal...Michael Vaughan ..Told ya..India are going to get hammered in the Test Series..#AUSvIND #4-0
2634.jpg	*Whatsapp updates privacy policies*Internet to Zuckerberg:Sab janna hai iss Bh*dwe ko	*Whatsapp updates privacy policies*Internet to Zuckerberg:{Sab {janna {hai {iss {Bh*dwe {ko
2636.jpg	When you leave the family group,but some fucker keeps adding you back Iss sajjan ko kya takleef hai bhai	When you leave the family group,but some fucker keeps adding you back {Iss {sajjan {ko {kya {takleef {hai {bhai
2638.jpg	Nidhi Razdan:I've come to bargain Harvard UNI:Bawaal I don't even know who you are	Nidhi Razdan:I've come to bargain {Harvard {UNI:{Bawaal {I {don't {even {know {who {you {are
2640.jpg	Dani Daniel Got Engaged Mohabbat thi isiliye toh jaane diya,Zid Hoti Toh aaj Bahon Mein hoti..	{Dani {Daniel Got {Engaged {Mohabbat {thi isiliye toh {jaane {diya,{Zid {Hoti {Toh aaj {Bahon {Mein {hoti..
2642.jpg	Jumme ki raat hai chumme ki baat hai Allah bachaay hame teri caar se	Jumme ki raat hai chumme ki baat hai {Allah {bachaay {hame {teri {caar {se
2644.jpg	ye hamari car hai aur ye hum hai aur ye hamari parwi ho rahi hsi	ye {hamari {car hai aur {ye {hum hai aur {ye {hamari {parwi {ho rahi hsi
2646.jpg	Paris.I like France but wherever I travel America,Europe,Middle East people just assume I am French, they even speak to me in french when I say I am Indian they assume I am French based in India Thodi si duniya kya dekh li Dimag kharab ho gaya hai tera	Paris.I like France but wherever I travel America,Europe,Middle East {people just {assume I am {French, they even speak to me in french when I say I am Indian they assume I am {French {based in {India {Thodi {si {duniya kya {dekh {li {Dimag {kharab {ho {gaya {hai tera
2647.jpg	FAIZU-bahen hume naya video banana chahiye LE AMIR SIDDIQUI- kholu kapde?	FAIZU-bahen hume {naya {video banana chahiye {LE {AMIR {SIDDIQUI- {kholu {kapde?
2648.jpg	On instagram * Someone: I nominate you... Me:Tu kaun hai?Aukat kya he teri	On instagram * Someone: I {nominate {you... {Me:{Tu {kaun {hai?{Aukat {kya {he {teri
2649.jpg	Youtube Vs Tiktok	{Youtube {Vs {Tiktok
2650.jpg	Most loyal Girl From Section D	Most {loyal {Girl From {Section {D
2652.jpg	giving birth to you is my worst mistake of life	{giving {birth to you is my {worst {mistake {of {life
2654.jpg	bhadwa saala randibaaj	{bhadwa {saala {randibaaj
2656.jpg	Result ka kya hua beta?Me bihar board ka student hu..	{Result ka {kya {hua beta?Me {bihar {board {ka {student {hu..
2657.jpg	Jalne walo ki to rooh bhi jalani h	{Jalne {walo ki to {rooh {bhi {jalani {h
2658.jpg	BC kuch bandiya baalo se much banake selfie click karti hai aur samajhti hai 'ITS CUTE' kasam se behen mangal pandey se kam nahi lagti ho	{BC kuch {bandiya {baalo {se {much {banake selfie click karti hai aur {samajhti {hai {'ITS {CUTE' kasam se behen {mangal {pandey [se {kam {nahi {lagti ho
2659.jpg	Tera beta kya karta hai Mera beta American flag or Indian flag wale retard memes bnata hai	Tera beta kya karta hai Mera beta {American {flag or {Indian {flag {wale {retard {memes {bnata {hai
2660.jpg	Worked at agar tu meri pasand hai toh zaruri nahl meh tuje hASil karu lekin agar tu meri zidd bane to Kisika baAP ki AUKAT nahi tujhe hasil kar sake!!!WOH BHOSDIKE,WAAH!	Worked at agar tu {meri {pasand hai toh {zaruri {nahl meh {tuje {hASil {karu lekin agar tu {meri {zidd bane to {Kisika {baAP {ki {AUKAT {nahi {tujhe {hasil {kar {sake!!!{WOH {BHOSDIKE,{WAAH!
2664.jpg	GST Mein kuch badhe ya na badhe Agar Attendence 75% se 1% bhi badhi to talware chalegi talware	{GST Mein kuch {badhe ya {na {badhe Agar {Attendence {75% se {1% {bhi {badhi to {talware {chalegi {talware
2666.jpg	*Father* Exam me itne kam marks kaise aaye bey? Via:Confused Aatma Tanik Izzat se baat kijiye.. "Chacha Vidhayak hai hmare."Bsdk..Mera hi bhai hai woh..!!	*Father* Exam me itne kam marks kaise aaye bey? Via:Confused Aatma {Tanik {Izzat {se baat kijiye.. "{Chacha {Vidhayak {hai hmare."{Bsdk..{Mera {hi {bhai {hai {woh..!!
2668.jpg	Bhaiye Aur Teekha Ok,Ye lo Madam Arey aur teekha Accha Madam ji aur teekha madam dynamite laga du muh mein?	Bhaiye Aur Teekha Ok,Ye lo Madam Arey aur teekha Accha Madam ji aur teekha {madam {dynamite {laga {du {muh {mein?
2672.jpg	Where Do you Stay?Andheri Sahi Hai.Light ka Bill Nahi Aata Hoga na?Tu single hi marega BC	Where Do you Stay?Andheri Sahi Hai.{Light ka {Bill {Nahi {Aata {Hoga na?{Tu {single {hi {marega BC
2674.jpg	Tune Meri Gf ko Chheda Maaf kr de bhai Gf Power	Tune Meri {Gf {ko {Chheda {Maaf {kr {de {bhai {Gf {Power
2676.jpg	Assignment complete kyon nahi kiya?Sorry sir bhool gaya Isme daalna toh kabhi nahi bhulte	Assignment complete kyon nahi kiya?Sorry sir bhool gaya {Isme {daalna {toh kabhi {nahi {bhulte
2677.jpg	IN DREAMS KATRINA KAIF SHARDDHA KAPOOR DHINCHAK POOJA	IN {DREAMS KATRINA KAIF SHARDDHA KAPOOR {DHINCHAK {POOJA
2678.jpg	Oye Sunn!aaj movie chalega?Nahi yaar..AAJ mujhe doctor ke yaha jana hai cancel karde yaar,bol de ki teri tabiyat kharab hai BS!@#$%%&	Oye Sunn!aaj {movie {chalega?Nahi yaar..AAJ mujhe {doctor ke yaha {jana {hai {cancel karde yaar,bol de ki teri {tabiyat {kharab {hai {BS!@#$%%&
2682.jpg	"Baapu dede thoda cash!!"teri maa ka pakoda..	"Baapu dede thoda cash!!"teri {maa {ka {pakoda..
2684.jpg	I'M the best I'M the best Desi Trolls Main kuch bolu kya BC? Arey sot king ji aap hi best ho	I'M the best I'M the best Desi Trolls Main kuch bolu kya BC? Arey {sot {king ji {aap hi {best {ho
2686.jpg	bro ye machine future dikhati hai chal dekhte hai aaj kya hone wala hai "Shaam tak khelenge inki GAND FATT JAYEGI"	bro ye machine future dikhati hai chal dekhte hai aaj kya hone wala hai "Shaam tak khelenge inki {GAND {FATT {JAYEGI"
2687.jpg	When Ur Net Income is of 14lac But u somehow convert it o 65 lacby using Some Credit Card Tricks: Hackerman	When Ur {Net {Income is of {14lac But u somehow {convert it o {65 lacby using Some {Credit {Card {Tricks: {Hackerman
2688.jpg	EPIC_TROLLS_24 *Padmavat releases after "300"cuts* *Movie starts* "Mera naam Mukesh hai mene sirf ek saal gutkha chabaya aur mujhe cancer hai""THE END"	EPIC_TROLLS_24 *{Padmavat releases after {"300"cuts* *Movie starts* "Mera naam {Mukesh hai mene sirf {ek {saal {gutkha chabaya aur mujhe {cancer hai""{THE {END"
2689.jpg	Guys, never demand CBI inquiry as a bluff Worst mistake of my life	Guys, {never demand {CBI {inquiry as a {bluff {Worst {mistake of my life
2690.jpg	I made a lover 10 years younger than me Haan maloom hai chal.Apne baap ko mat sikha	I made a l{over 10 years {younger than me {Haan maloom hai chal.Apne {baap ko {mat {sikha
2691.jpg	IPL FACT Virat Kohli is a Punjabi, he is from Delhi & he plays for Bangalore And Punjab, Delhi, Bangalore have never won an IPL trophy	IPL FACT {Virat {Kohli is a {Punjabi, he is from {Delhi & he plays for {Bangalore And Punjab, Delhi, Bangalore have {never {won an {IPL {trophy
2692.jpg	उत्तर कोरिया ने कोरोना संकट के बिच मिसाइल परीक्छण किया Gaand fate toh fate Nawabi na ghate	à¤‰à¤¤à¥à¤¤à¤° à¤•à¥‹à¤°à¤¿à¤¯à¤¾ à¤¨à¥‡ à¤•à¥‹à¤°à¥‹à¤¨à¤¾ à¤¸à¤‚à¤•à¤Ÿ à¤•à¥‡ à¤¬à¤¿à¤š à¤®à¤¿à¤¸à¤¾à¤‡à¤² à¤ªà¤°à¥€à¤•à¥à¤›à¤£ à¤•à¤¿à¤¯à¤¾ Gaand fate toh fate Nawabi na ghate
2694.jpg	Asia Cup 2018:Confident Hasan Ali claims to take all '10 wickets' against India Muh se moongfali toot nahi rahi hai Gaand se akhrott todega kya?	Asia Cup 2018:Confident {Hasan {Ali claims to take all '10 wickets' against India {Muh se {moongfali toot nahi rahi hai {Gaand se {akhrott {todega kya?
2696.jpg	Me-Mummy, aaj se mai sincerely padhai karunga..Mom- Toh kar na...dhaai saal ho gye kb karoge..??	Me-Mummy, aaj se mai {sincerely {padhai karunga..Mom- Toh {kar na…{dhaai {saal {ho {gye kb karoge..??
2698.jpg	*Ambani starts Laxmi Pujan* Laxmi ji:JYAADA HO RAHA HAI	*{Ambani starts {Laxmi {Pujan* {Laxmi {ji:{JYAADA {HO {RAHA HAI
2700.jpg	When someone say "kuch khaya kro.. Itne ptle ho" to skinny person They:idhr aa tujhe hi kha jau* FO u hippo size zero maintain kr rkha h mene	When {someone say "{kuch {khaya {kro.. Itne ptle ho" {to {skinny person {They:idhr {aa {tujhe {hi {kha {jau* {FO u {hippo size zero maintain kr rkha h mene
2702.jpg	calm down calm down	{calm {down calm down
2703.jpg	Me:coffee pe chalogi?she:nhi,mere paer jal jayenge.Choriye Thi kya pichle janam me?	Me:{coffee pe {chalogi?she:nhi,mere {paer {jal {jayenge.{Choriye {Thi kya {pichle {janam {me?
2704.jpg	*when your best friend insults you in front of your crush* inner me:Oo behn ke lode	*when your {best {friend {insults you in {front of your {crush* inner me:{Oo {behn {ke {lode
2706.jpg	Me to my Mom these days Oh madam ji mai tera BAI nahi hai	{Me {to my {Mom these days Oh {madam {ji mai tera {BAI {nahi hai
2710.jpg	Nathu jesi koi Shooterich nehi hai Mahatma Gandhi(#Fuckboynation)	{Nathu jesi koi {Shooterich {nehi hai {Mahatma {Gandhi {(#Fuckboynation)
2712.jpg	kya mai DEADPOOL lag rha hu frens?Raid me pakdi hui r*nd lag rha hai	kya mai {DEADPOOL lag rha hu frens?{Raid me {pakdi hui {r*nd {lag {rha hai
2714.jpg	Sir-iss Sunday ko extra class rakhege Me-TUSSI GAAND MARAO	{Sir-iss Sunday ko {extra {class rakhege {Me-{TUSSI {GAAND {MARAO
2716.jpg	Us Bichari ko is baat ki bhanak bhi nahi thi ki abhi uski G**n Tutnevali hai	Us Bichari ko is baat ki {bhanak bhi {nahi thi ki abhi uski {G**n {Tutnevali {hai
2720.jpg	Kareena aged 10 had attended SAIF'S marriage with amrita in 1991 &said,'congrats uncle' &Saif replied,"THANK YOU BETA" Saikat Layek Uncle to bade betichod nikle	{Kareena aged 10 had {attended {SAIF'S {marriage {with {amrita in 1991 &said,'congrats uncle' &Saif replied,"THANK YOU BETA" Saikat Layek {Uncle {to {bade {betichod {nikle
2722.jpg	Nick got no chill. परिणीति ने जीजू से जूते चुराई मे मांगे 37 करोड़ रूपए, निक जोनस ने कहा - लावड़ा मेरा | मुँह में ले	{Nick {got {no {chill. à¤ªà¤°à¤¿à¤£à¥€à¤¤à¤¿ à¤¨à¥‡ à¤œà¥€à¤œà¥‚ à¤¸à¥‡ à¤œà¥‚à¤¤à¥‡ à¤šà¥à¤°à¤¾à¤ˆ à¤®à¥‡ à¤®à¤¾à¤‚à¤—à¥‡ 37 à¤•à¤°à¥‹à¥œ à¤°à¥‚à¤ªà¤, à¤¨à¤¿à¤• à¤œà¥‹à¤¨à¤¸ à¤¨à¥‡ à¤•à¤¹à¤¾ - à¤²à¤¾à¤µà¥œà¤¾ à¤®à¥‡à¤°à¤¾ | à¤®à¥à¤à¤¹ à¤®à¥‡à¤‚ à¤²à¥‡
2724.jpg	Saif Ali khan is feeling loved with Kareena Kapoor Khan Taimur Ali Khan Taimur Ali Khan Link Please	{Saif Ali khan is feeling {loved with {Kareena Kapoor Khan {Taimur Ali Khan Taimur Ali Khan {Link {Please
2726.jpg	Dudh m Horlicks mailao dudh ki shakti badhao	{Dudh m {Horlicks {mailao {dudh {ki {shakti {badhao
